date,selected_stocks,n_holdings,top1_stock,top1_prob,gross_return,net_return,turnover,equity,drawdown,exposure,kept_existing,newly_added,forced_keep_count,entry_candidates_count
2018-07-18,AMZN|UNH,2,UNH,0.60234904,0.004517099762439651,0.004517099762439651,0.0,6.9362031947873914,0.0,1.0,2,0,1,0
2018-07-25,AMZN|UNH,2,AMZN,0.60517865,-0.0207487860633366,-0.0207487860633366,0.0,6.792285398606916,-0.020748786063336633,1.0,2,0,0,0
2018-08-01,AMZN|V,2,V,0.651386,0.03364699091031715,0.03264699091031715,1.0,7.014033078275515,0.0,1.0,1,1,0,6
2018-08-08,META|V,2,META,0.6363184,-0.017956596993431752,-0.018956596993431753,1.0,6.881070879912047,-0.018956596993431774,1.0,1,1,1,3
2018-08-15,JNJ|META,2,JNJ,0.6384127,-0.0003799726656767005,-0.0013799726656767005,1.0,6.871575190187184,-0.02031041007342327,1.0,1,1,1,4
2018-08-22,JNJ|MSFT,2,MSFT,0.6280559,0.0274314895694051,0.0264314895694051,1.0,7.0532011581519996,0.0,1.0,1,1,1,5
2018-08-29,JNJ|MSFT,2,V,0.5893059,-0.007187903217313149,-0.007187903217313149,0.0,7.002503430854962,-0.0071879032173131074,1.0,2,0,1,0
2018-09-06,MSFT|V,2,V,0.6374285,0.03000488644222635,0.02900488644222635,1.0,7.2056102476782105,0.0,1.0,1,1,0,3
2018-09-13,GOOGL|V,2,GOOGL,0.60944694,0.009441194547800649,0.008441194547800648,1.0,7.266434205614488,0.0,1.0,1,1,1,1
2018-09-20,AMZN|GOOGL,2,AMZN,0.6220813,0.024287588146475303,0.023287588146475302,1.0,7.435651932688299,0.0,1.0,1,1,1,3
2018-09-27,AMZN|JNJ,2,JNJ,0.620538,-0.02163547421763825,-0.02263547421763825,1.0,7.2673424250746015,-0.02263547421763823,1.0,1,1,1,5
2018-10-04,AMZN|JNJ,2,JNJ,0.60854334,-0.06953913483128975,-0.06953913483128975,0.0,6.761977720312187,-0.09060055775533737,1.0,2,0,1,0
2018-10-11,JNJ|V,2,V,0.6335919,0.041932911257413705,0.040932911257413704,1.0,7.038765154262334,-0.053376191088395086,1.0,1,1,0,6
2018-10-18,MSFT|V,2,MSFT,0.61249757,0.00349353554231135,0.00249353554231135,1.0,7.056316565348469,-0.0510157509756759,1.0,1,1,1,3
2018-10-25,JPM|MSFT,2,JPM,0.6090122,0.008657388103330551,0.007657388103330551,1.0,7.110349519869303,-0.043749010276948885,1.0,1,1,1,2
2018-11-01,JPM|UNH,2,UNH,0.6407302,0.0457219556483837,0.0447219556483837,1.0,7.428338255741405,-0.0009835959258316374,1.0,1,1,1,5
2018-11-08,MSFT|UNH,2,MSFT,0.6400784,-0.03909029858002595,-0.040090298580025954,1.0,7.130533957115302,-0.04103446185150894,1.0,1,1,1,3
2018-11-15,MSFT|V,2,V,0.63506085,-0.0512415008169668,-0.0522415008169668,1.0,6.758024161569254,-0.09113226079613634,1.0,1,1,1,6
2018-11-23,UNH|V,2,UNH,0.68333924,0.07271026051907131,0.07171026051907131,1.0,7.242643834789564,-0.0259571184404479,1.0,1,1,1,8
2018-11-30,UNH|V,2,V,0.61578935,-0.0398675716039907,-0.0398675716039907,0.0,6.95389721310389,-0.06478984276638067,1.0,2,0,1,1
2018-12-10,UNH|V,2,V,0.6426295,-0.0393693109130485,-0.0393693109130485,0.0,6.680127071663821,-0.101608422215552,1.0,2,0,0,8
2018-12-17,UNH|V,2,UNH,0.66581094,-0.08548442552836635,-0.08548442552836635,0.0,6.109080246486151,-0.17840691014197818,1.0,2,0,0,8
2018-12-24,JNJ|UNH,2,JNJ,0.6896762,0.0426307369475861,0.0416307369475861,1.0,6.363405759219311,-0.14420338434014435,1.0,1,1,0,8
2019-01-02,JNJ|V,2,V,0.62787443,0.025270261447862902,0.0242702614478629,1.0,6.5178472806944,-0.12343297673188347,1.0,1,1,1,2
2019-01-09,MSFT|V,2,MSFT,0.6299402,0.0014573646677745497,0.00045736466777454967,1.0,6.52082831375054,-0.12303206594650429,1.0,1,1,1,3
2019-01-16,JPM|MSFT,2,JPM,0.6612557,0.0050612467109504,0.0040612467109504,1.0,6.547311006292432,-0.11947048280872052,1.0,1,1,1,6
2019-01-24,JPM|META,2,META,0.6384838,0.07522033623118946,0.07422033623118945,1.0,7.033254630589624,-0.054117285981296726,1.0,1,1,1,5
2019-01-31,META|V,2,V,0.6054627,0.018179989999832148,0.017179989999832147,1.0,7.154085874809428,-0.037867030413441305,1.0,1,1,1,1
2019-02-07,MSFT|V,2,MSFT,0.6303948,0.01929859352761075,0.01829859352761075,1.0,7.284995584294188,-0.020261350283463653,1.0,1,1,1,5
2019-02-14,MSFT|UNH,2,UNH,0.63329715,0.02460778144086635,0.023607781440866348,1.0,7.4569781678458815,0.0,1.0,1,1,1,4
2019-02-22,META|UNH,2,META,0.6402676,-0.03803039440006835,-0.03903039440006835,1.0,7.165929368922157,-0.03903039440006839,1.0,1,1,1,3
2019-03-01,META|UNH,2,UNH,0.6414014,0.006396202983816598,0.006396202983816598,0.0,7.211764107733475,-0.032883837741373156,1.0,2,0,1,1
2019-03-08,JPM|UNH,2,UNH,0.6304164,0.0469143492730098,0.0459143492730098,1.0,7.542887563850506,0.0,1.0,1,1,0,2
2019-03-15,JPM|UNH,2,UNH,0.5612993,-0.0404349848220222,-0.0404349848220222,0.0,7.237891019691991,-0.040434984822022235,1.0,2,0,1,0
2019-03-22,META|UNH,2,UNH,0.64844126,0.007493880679737151,0.006493880679737151,1.0,7.284893020346812,-0.034203684109006316,1.0,1,1,0,2
2019-03-29,META|UNH,2,UNH,0.62331545,0.03015980574929615,0.03015980574929615,0.0,7.504603978744876,-0.005075454828347925,1.0,2,0,1,2
2019-04-05,JNJ|META,2,JNJ,0.62219495,0.0088834292190638,0.0078834292190638,1.0,7.563765993028415,0.0,1.0,1,1,0,1
2019-04-12,JNJ|MSFT,2,JNJ,0.6390681,0.01841903491370085,0.017419034913700848,1.0,7.69551949694004,0.0,1.0,1,1,1,1
2019-04-22,MSFT|UNH,2,UNH,0.62834173,0.047045112553590854,0.04604511255359085,1.0,8.049860558334997,0.0,1.0,1,1,1,1
2019-04-29,JNJ|UNH,2,JNJ,0.6300396,0.01446750803800995,0.013467508038009949,1.0,8.158272120109233,0.0,1.0,1,1,1,1
2019-05-06,GOOGL|JNJ,2,GOOGL,0.6365934,-0.04103304430246925,-0.04203304430246925,1.0,7.815355106653082,-0.042033044302469236,1.0,1,1,1,5
